TargetURL,Channel,Quality,Server,StartTime,Duration
https://dlhd.pk/watch.php?id=1 | https://dlhd.pk/watch.php?id=587 | https://dlhd.pk/watch.php?id=402,s1.3,110KBps (Balanced 480p),None,2026-06-06 08:00 PM,3h 15m
https://dlhd.pk/watch.php?id=403 | https://dlhd.pk/watch.php?id=103 | https://dlhd.pk/watch.php?id=97,s1.4,110KBps (Balanced 480p),None,2026-06-06 10:00 PM,3h 15m
https://dlhd.pk/watch.php?id=49 | https://dlhd.pk/watch.php?id=719 | https://dlhd.pk/watch.php?id=74,s1.5,110KBps (Balanced 480p),None,2026-06-06 10:45 PM,3h 15m
https://dlhd.pk/watch.php?id=670 | https://dlhd.pk/watch.php?id=356 | https://dlhd.pk/watch.php?id=7,s1.6,110KBps (Balanced 480p),None,2026-06-06 10:45 PM,3h 15m
https://dlhd.pk/watch.php?id=9 | https://dlhd.pk/watch.php?id=401 | https://dlhd.pk/watch.php?id=95,s1.7,110KBps (Balanced 480p),None,2026-06-06 11:00 PM,3h 15m
https://streamed.pk/watch/usa-vs-germany-2408950/delta/1 | https://dlhd.pk/watch.php?id=845 | https://dlhd.pk/watch.php?id=341,s1.8,110KBps (Balanced 480p),None,2026-06-06 11:30 PM,3h 15m
https://dlhd.pk/watch.php?id=12 | https://dlhd.pk/watch.php?id=13 | https://dlhd.pk/watch.php?id=3066,s1.9,110KBps (Balanced 480p),None,2026-06-07 12:00 AM,3h 15m
https://dlhd.pk/watch.php?id=589 | https://dlhd.pk/watch.php?id=10 | https://dlhd.pk/watch.php?id=290,s1.10,110KBps (Balanced 480p),None,2026-06-07 12:00 AM,3h 15m
https://dlhd.pk/watch.php?id=357 | https://dlhd.pk/watch.php?id=14 | https://dlhd.pk/watch.php?id=591,s2.1,110KBps (Balanced 480p),None,2026-06-07 01:00 AM,3h 15m
https://dlhd.pk/watch.php?id=350 | https://dlhd.pk/watch.php?id=756 | https://dlhd.pk/watch.php?id=426,s2.2,110KBps (Balanced 480p),None,2026-06-07 01:00 AM,3h 15m
https://streamed.pk/watch/qatar-vs-el-salvador-2470310/delta/1 | https://dlhd.pk/watch.php?id=781 | https://dlhd.pk/watch.php?id=55,s2.3,110KBps (Balanced 480p),None,2026-06-07 01:00 AM,3h 15m
https://streamed.pk/watch/brazil-vs-egypt-2440225/golf/1 | https://dlhd.pk/watch.php?id=611 | https://dlhd.pk/watch.php?id=78,s2.4,110KBps (Balanced 480p),None,2026-06-07 03:00 AM,3h 15m
https://dlhd.pk/watch.php?id=756 | https://dlhd.pk/watch.php?id=889 | https://dlhd.pk/watch.php?id=1000,s2.5,110KBps (Balanced 480p),None,2026-06-07 03:00 AM,3h 15m
https://streamed.pk/watch/argentina-vs-honduras-2464802/golf/1 | https://dlhd.pk/watch.php?id=746 | https://dlhd.pk/watch.php?id=9,s2.6,110KBps (Balanced 480p),None,2026-06-07 05:00 AM,None
